Group	Category	COG	Count	perc	id
"Poorly
characterized"	Core	S	11	0.013110846	aur_AD
"Poorly
characterized"	ACC	R	10	0.046728972	aur_AD
"Poorly
characterized"	ACC	S	3	0.014018692	aur_AD
"Poorly
characterized"	SS	R	15	0.069444444	aur_AD
"Poorly
characterized"	SS	S	3	0.013888889	aur_AD
"Poorly
characterized"	Core	R	53	0.063549161	aur_HE
"Poorly
characterized"	Core	S	13	0.01558753	aur_HE
"Poorly
characterized"	ACC	R	11	0.047413793	aur_HE
"Poorly
characterized"	ACC	S	2	0.00862069	aur_HE
"Poorly
characterized"	SS	R	3	0.025423729	aur_HE
"Poorly
characterized"	SS	S	2	0.016949153	aur_HE
"Poorly
characterized"	Core	R	51	0.064150943	epi_AD
"Poorly
characterized"	Core	S	6	0.00754717	epi_AD
"Poorly
characterized"	ACC	R	1	0.01369863	epi_AD
"Poorly
characterized"	ACC	S	1	0.01369863	epi_AD
"Poorly
characterized"	SS	S	1	0.018518519	epi_AD
"Poorly
characterized"	SS	R	1	0.018518519	epi_AD
"Poorly
characterized"	Core	R	57	0.067938021	aur_AD
Mobileome	Core	X	2	0.00238379	aur_AD
Mobileome	ACC	X	16	0.074766355	aur_AD
Mobileome	SS	X	1	0.00462963	aur_AD
Mobileome	Core	X	3	0.003597122	aur_HE
Mobileome	ACC	X	14	0.060344828	aur_HE
Mobileome	SS	X	2	0.016949153	aur_HE
Mobileome	Core	X	2	0.002515723	epi_AD
Mobileome	ACC	X	1	0.01369863	epi_AD
Mobileome	SS	X	1	0.018518519	epi_AD
Metabolism	Core	Q	17	0.020262217	aur_AD
Metabolism	Core	P	93	0.110846246	aur_AD
Metabolism	Core	I	38	0.045292014	aur_AD
Metabolism	Core	H	60	0.071513707	aur_AD
Metabolism	Core	G	66	0.078665077	aur_AD
Metabolism	Core	F	30	0.035756853	aur_AD
Metabolism	Core	E	102	0.121573302	aur_AD
Metabolism	Core	C	37	0.044100119	aur_AD
Metabolism	ACC	E	33	0.154205607	aur_AD
Metabolism	ACC	P	29	0.135514019	aur_AD
Metabolism	ACC	H	15	0.070093458	aur_AD
Metabolism	ACC	Q	1	0.004672897	aur_AD
Metabolism	ACC	G	11	0.051401869	aur_AD
Metabolism	ACC	F	2	0.009345794	aur_AD
Metabolism	ACC	C	7	0.03271028	aur_AD
Metabolism	SS	E	62	0.287037037	aur_AD
Metabolism	SS	P	31	0.143518519	aur_AD
Metabolism	SS	H	3	0.013888889	aur_AD
Metabolism	SS	G	13	0.060185185	aur_AD
Metabolism	SS	Q	3	0.013888889	aur_AD
Metabolism	SS	I	1	0.00462963	aur_AD
Metabolism	SS	C	2	0.009259259	aur_AD
Metabolism	Core	P	91	0.10911271	aur_HE
Metabolism	Core	E	104	0.12470024	aur_HE
Metabolism	Core	G	67	0.080335731	aur_HE
Metabolism	Core	H	61	0.073141487	aur_HE
Metabolism	Core	I	34	0.040767386	aur_HE
Metabolism	Core	Q	16	0.019184652	aur_HE
Metabolism	Core	C	39	0.04676259	aur_HE
Metabolism	Core	F	33	0.039568345	aur_HE
Metabolism	ACC	I	5	0.021551724	aur_HE
Metabolism	ACC	P	27	0.11637931	aur_HE
