VF_Gene	Comparison	p_value	value	exp_value
hlb	aur_AD - aur_HE	0.000000409	-0.853770375	0.425806452
hlgB	aur_AD - aur_HE	0.00000268	-1.180983286	0.306976744
ebh	aur_AD - aur_HE	0.00000449	0.606135804	1.833333334
atl	aur_AD - aur_HE	0.000014	-0.960742494	0.382608696
hly/hla	aur_AD - aur_HE	0.0000169	-1.185623666	0.305555555
geh	aur_AD - aur_HE	0.000142641	-0.90321865	0.405263158
sspB	aur_AD - aur_HE	0.000159705	-1.331806172	0.264000001
sspA	aur_AD - aur_HE	0.000702968	-1.2039728	0.300000001
icaC	aur_AD - aur_HE	0.001261681	-0.578418915	0.560784314
splF	aur_AD - aur_HE	0.001474557	-0.820980552	0.44
lukD	aur_AD - aur_HE	0.00228006	-0.860201265	0.423076923
sspC	aur_AD - aur_HE	0.003044427	1.481604541	4.4
sell	aur_AD - aur_HE	0.003340008	0.94260804	2.566666666
lukE	aur_AD - aur_HE	0.004773649	-1.22644566	0.293333333
hlgC	aur_AD - aur_HE	0.005928021	-0.666829865	0.513333337
cap5F	aur_AD - aur_HE	0.008000262	-1.157452789	0.314285714
isdD	aur_AD - aur_HE	0.008000262	-1.157452789	0.314285714
nuc	aur_AD - aur_HE	0.013416615	-0.566088302	0.567741936
ebp	aur_AD - aur_HE	0.013495065	-1.083344816	0.338461539
sfaD	aur_AD - aur_HE	0.020608996	-1.408767192	0.244444451
aur	aur_AD - aur_HE	0.020608996	-1.408767192	0.244444451
cap8E	aur_AD - aur_HE	0.020608996	-1.408767192	0.244444451
splB	aur_AD - aur_HE	0.02124277	-0.733969175	0.48
isdA	aur_AD - aur_HE	0.022889356	-1.003302109	0.366666667
capD	aur_AD - aur_HE	0.023290229	-0.597837001	0.55
esaB	aur_AD - aur_HE	0.02349359	1.193922468	3.299999998
lip	aur_AD - aur_HE	0.02494055	-0.715620036	0.488888889
SAUSA300_1975	aur_AD - aur_HE	0.029265212	-1.331806151	0.264000007
cap8I	aur_AD - aur_HE	0.035016428	-1.290984181	0.275
splC	aur_AD - aur_HE	0.03836176	-0.597837001	0.55
sfaC	aur_AD - aur_HE	0.03896018	-0.916290732	0.4
efb	aur_AD - aur_HE		-0.597837001	0.55
chp	aur_AD - aur_HE		0.606135804	1.833333334
SA1755	aur_AD - aur_HE		0.606135804	1.833333334
cap5E	aur_AD - aur_HE		-0.492476485	0.611111111
srtB	aur_AD - aur_HE		-0.492476485	0.611111111
spa	aur_AD - aur_HE		0.372941916	1.451999999
sdrE	aur_AD - aur_HE		-0.53329848	0.586666666
eap/map	aur_AD - aur_HE		-0.53329848	0.586666666
splD	aur_AD - aur_HE		-0.53329848	0.586666666
icaR	aur_AD - aur_HE		-0.310154928	0.733333334
capB	aur_AD - aur_HE		-0.597836996	0.550000003
SaurJH1_0143	aur_AD - aur_HE		-0.715620036	0.488888889
SAOUHSC_00117	aur_AD - aur_HE		-0.715620036	0.488888889
sfaB	aur_AD - aur_HE		-0.715620036	0.488888889
SAOUHSC_00118	aur_AD - aur_HE		-0.715620036	0.488888889
cap8P	aur_AD - aur_HE		-0.715620036	0.488888889
essA	aur_AD - aur_HE		0.254374874	1.289655172
hysA	aur_AD - aur_HE		-0.510825619	0.600000003
icaB	aur_AD - aur_HE		-0.182321557	0.833333333
essB	aur_AD - aur_HE		-0.25832986	0.772340426
isdF	aur_AD - aur_HE		-0.374693449	0.6875
capP	aur_AD - aur_HE		-0.310154928	0.733333334
sak	aur_AD - aur_HE		-0.179126666	0.836
cap5G	aur_AD - aur_HE		-0.223143551	0.8
sraP	aur_AD - aur_HE		-0.41551544	0.660000003
hlgA	aur_AD - aur_HE		-0.121360857	0.885714286
essC	aur_AD - aur_HE		-0.252996514	0.776470589
capC	aur_AD - aur_HE		0.146603474	1.157894737
capA	aur_AD - aur_HE		0.19062036	1.21
capE	aur_AD - aur_HE		-0.192371893	0.825
SaurJH9_0150	aur_AD - aur_HE		-0.310154928	0.733333334
coa	aur_AD - aur_HE		0.077610605	1.080701757
icaA	aur_AD - aur_HE		8.40E-16	1
