id	Species	Strain	Health	Category	Number
epi_HE	epi	Epi_ref	HE	ACC	260
epi_AD	epi	185	AD	ACC	289
epi_AD	epi	272	AD	ACC	280
epi_HE	epi	313	HE	ACC	222
epi_AD	epi	390	AD	ACC	177
epi_AD	epi	399	AD	ACC	248
epi_AD	epi	431	AD	ACC	295
epi_AD	epi	494	AD	ACC	303
aur_AD	aur	184	AD	ACC	604
aur_AD	aur	428	AD	ACC	488
aur_AD	aur	432	AD	ACC	643
aur_AD	aur	490	AD	ACC	496
aur_AD	aur	502	AD	ACC	537
aur_AD	aur	L4	AD	ACC	585
aur_AD	aur	L5	AD	ACC	585
aur_AD	aur	L6	AD	ACC	586
aur_AD	aur	AC4	AD	ACC	584
aur_AD	aur	AC5	AD	ACC	585
aur_AD	aur	AC6	AD	ACC	584
aur_AD	aur	194	AD	ACC	604
aur_AD	aur	195	AD	ACC	604
aur_AD	aur	196	AD	ACC	606
aur_AD	aur	276	AD	ACC	524
aur_AD	aur	277	AD	ACC	531
aur_AD	aur	278	AD	ACC	534
aur_AD	aur	358	AD	ACC	749
aur_AD	aur	359	AD	ACC	721
aur_AD	aur	360	AD	ACC	722
aur_AD	aur	370	AD	ACC	560
aur_AD	aur	371	AD	ACC	556
aur_AD	aur	372	AD	ACC	556
aur_AD	aur	197	AD	ACC	605
aur_AD	aur	198	AD	ACC	605
aur_AD	aur	199	AD	ACC	603
aur_AD	aur	280	AD	ACC	529
aur_AD	aur	281	AD	ACC	530
aur_AD	aur	282	AD	ACC	525
aur_AD	aur	355	AD	ACC	727
aur_AD	aur	356	AD	ACC	740
aur_AD	aur	357	AD	ACC	738
aur_AD	aur	365	AD	ACC	554
aur_AD	aur	366	AD	ACC	555
aur_AD	aur	367	AD	ACC	556
aur_AD	aur	N4	AD	ACC	584
aur_AD	aur	N5	AD	ACC	585
aur_AD	aur	N6	AD	ACC	584
aur_HE	aur	200	HE	ACC	528
aur_HE	aur	201	HE	ACC	530
aur_HE	aur	202	HE	ACC	528
aur_HE	aur	317	HE	ACC	815
aur_HE	aur	318	HE	ACC	805
aur_HE	aur	319	HE	ACC	796
aur_HE	aur	322	HE	ACC	651
aur_HE	aur	323	HE	ACC	659
aur_HE	aur	324	HE	ACC	691
aur_HE	aur	327	HE	ACC	624
aur_HE	aur	328	HE	ACC	627
aur_HE	aur	329	HE	ACC	678
aur_HE	aur	332	HE	ACC	540
aur_HE	aur	333	HE	ACC	543
aur_HE	aur	334	HE	ACC	541
epi_HE	epi	Epi_ref	HE	Core	1905
epi_AD	epi	185	AD	Core	1905
epi_AD	epi	272	AD	Core	1905
epi_HE	epi	313	HE	Core	1905
epi_AD	epi	390	AD	Core	1905
epi_AD	epi	399	AD	Core	1905
epi_AD	epi	431	AD	Core	1905
epi_AD	epi	494	AD	Core	1905
aur_AD	aur	184	AD	Core	1944
aur_AD	aur	428	AD	Core	1944
aur_AD	aur	432	AD	Core	1944
aur_AD	aur	490	AD	Core	1944
aur_AD	aur	502	AD	Core	1944
aur_AD	aur	L4	AD	Core	1944
aur_AD	aur	L5	AD	Core	1944
aur_AD	aur	L6	AD	Core	1944
aur_AD	aur	AC4	AD	Core	1944
aur_AD	aur	AC5	AD	Core	1944
aur_AD	aur	AC6	AD	Core	1944
aur_AD	aur	194	AD	Core	1944
aur_AD	aur	195	AD	Core	1944
aur_AD	aur	196	AD	Core	1944
aur_AD	aur	276	AD	Core	1944
aur_AD	aur	277	AD	Core	1944
aur_AD	aur	278	AD	Core	1944
aur_AD	aur	358	AD	Core	1944
aur_AD	aur	359	AD	Core	1944
aur_AD	aur	360	AD	Core	1944
aur_AD	aur	370	AD	Core	1944
aur_AD	aur	371	AD	Core	1944
aur_AD	aur	372	AD	Core	1944
aur_AD	aur	197	AD	Core	1944
aur_AD	aur	198	AD	Core	1944
aur_AD	aur	199	AD	Core	1944
aur_AD	aur	280	AD	Core	1944
aur_AD	aur	281	AD	Core	1944
aur_AD	aur	282	AD	Core	1944
aur_AD	aur	355	AD	Core	1944
aur_AD	aur	356	AD	Core	1944
aur_AD	aur	357	AD	Core	1944
aur_AD	aur	365	AD	Core	1944
aur_AD	aur	366	AD	Core	1944
aur_AD	aur	367	AD	Core	1944
aur_AD	aur	N4	AD	Core	1944
aur_AD	aur	N5	AD	Core	1944
aur_AD	aur	N6	AD	Core	1944
aur_HE	aur	200	HE	Core	1944
aur_HE	aur	201	HE	Core	1944
aur_HE	aur	202	HE	Core	1944
aur_HE	aur	317	HE	Core	1944
aur_HE	aur	318	HE	Core	1944
aur_HE	aur	319	HE	Core	1944
aur_HE	aur	322	HE	Core	1944
aur_HE	aur	323	HE	Core	1944
aur_HE	aur	324	HE	Core	1944
aur_HE	aur	327	HE	Core	1944
aur_HE	aur	328	HE	Core	1944
aur_HE	aur	329	HE	Core	1944
aur_HE	aur	332	HE	Core	1944
aur_HE	aur	333	HE	Core	1944
aur_HE	aur	334	HE	Core	1944
epi_HE	epi	Epi_ref	HE	SS	67
epi_AD	epi	185	AD	SS	105
epi_AD	epi	272	AD	SS	87
epi_HE	epi	313	HE	SS	27
epi_AD	epi	390	AD	SS	307
epi_AD	epi	399	AD	SS	122
epi_AD	epi	431	AD	SS	93
epi_AD	epi	494	AD	SS	104
aur_AD	aur	184	AD	SS	0
aur_AD	aur	428	AD	SS	72
aur_AD	aur	432	AD	SS	118
aur_AD	aur	490	AD	SS	59
aur_AD	aur	502	AD	SS	15
aur_AD	aur	L4	AD	SS	0
aur_AD	aur	L5	AD	SS	1
aur_AD	aur	L6	AD	SS	1
aur_AD	aur	AC4	AD	SS	0
aur_AD	aur	AC5	AD	SS	0
aur_AD	aur	AC6	AD	SS	3
aur_AD	aur	194	AD	SS	1
aur_AD	aur	195	AD	SS	5
aur_AD	aur	196	AD	SS	108
aur_AD	aur	276	AD	SS	0
aur_AD	aur	277	AD	SS	0
aur_AD	aur	278	AD	SS	54
aur_AD	aur	358	AD	SS	25
aur_AD	aur	359	AD	SS	8
aur_AD	aur	360	AD	SS	28
aur_AD	aur	370	AD	SS	93
aur_AD	aur	371	AD	SS	42
aur_AD	aur	372	AD	SS	49
aur_AD	aur	197	AD	SS	45
aur_AD	aur	198	AD	SS	0
aur_AD	aur	199	AD	SS	35
aur_AD	aur	280	AD	SS	0
aur_AD	aur	281	AD	SS	0
aur_AD	aur	282	AD	SS	1
aur_AD	aur	355	AD	SS	29
aur_AD	aur	356	AD	SS	31
aur_AD	aur	357	AD	SS	1
aur_AD	aur	365	AD	SS	1
aur_AD	aur	366	AD	SS	0
aur_AD	aur	367	AD	SS	39
aur_AD	aur	N4	AD	SS	0
aur_AD	aur	N5	AD	SS	0
aur_AD	aur	N6	AD	SS	0
aur_HE	aur	200	HE	SS	1
aur_HE	aur	201	HE	SS	0
aur_HE	aur	202	HE	SS	0
aur_HE	aur	317	HE	SS	51
aur_HE	aur	318	HE	SS	30
aur_HE	aur	319	HE	SS	74
aur_HE	aur	322	HE	SS	57
aur_HE	aur	323	HE	SS	62
aur_HE	aur	324	HE	SS	278
aur_HE	aur	327	HE	SS	1
aur_HE	aur	328	HE	SS	1
aur_HE	aur	329	HE	SS	63
aur_HE	aur	332	HE	SS	1
aur_HE	aur	333	HE	SS	105
aur_HE	aur	334	HE	SS	2
epi_HE	epi	Epi_ref	HE	Hypo	689
epi_AD	epi	185	AD	Hypo	776
epi_AD	epi	272	AD	Hypo	743
epi_HE	epi	313	HE	Hypo	638
epi_AD	epi	390	AD	Hypo	804
epi_AD	epi	399	AD	Hypo	741
epi_AD	epi	431	AD	Hypo	744
epi_AD	epi	494	AD	Hypo	775
aur_AD	aur	184	AD	Hypo	848
aur_AD	aur	428	AD	Hypo	818
