"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","200","201","202","317","318","319","322","323","324","327","328","329","332","333","334"
"aroB","","3-dehydroquinate synthase","15","15","1","1","1305","","","","1064","1064","1064","HCCBNODH_01177","GKHFBONB_01132","HMFBFOGB_00810","OCKNCMEG_02299","OIJDMNBO_01412","PPDKNGKA_01393","EPFCPEFD_00592","BJCJJAEL_00913","NFIBCCNE_01487","POKGPMKP_01394","AMPJGNCI_02366","HAOGAOPA_01722","IMDFGEMN_01114","KHHHHCOB_01691","KMFFNEKJ_02303"
"aroA_1","","3-phosphoshikimate 1-carboxyvinyltransferase","15","15","1","1","1304","","","","1298","1298","1298","HCCBNODH_01178","GKHFBONB_01133","HMFBFOGB_00809","OCKNCMEG_02298","OIJDMNBO_01411","PPDKNGKA_01392","EPFCPEFD_00591","BJCJJAEL_00912","NFIBCCNE_01486","POKGPMKP_01393","AMPJGNCI_02367","HAOGAOPA_01723","IMDFGEMN_01115","KHHHHCOB_01690","KMFFNEKJ_02302"
"group_1002","","hypothetical protein","15","15","1","1","1301","","","","587","587","587","HCCBNODH_01181","GKHFBONB_01136","HMFBFOGB_00806","OCKNCMEG_02295","OIJDMNBO_01408","PPDKNGKA_01389","EPFCPEFD_00588","BJCJJAEL_00909","NFIBCCNE_01483","POKGPMKP_01390","AMPJGNCI_02370","HAOGAOPA_01726","IMDFGEMN_01118","KHHHHCOB_01687","KMFFNEKJ_02299"
"group_1003","","hypothetical protein","15","15","1","1","1288","","","","350","401","387","HCCBNODH_01194","GKHFBONB_01149","HMFBFOGB_00793","OCKNCMEG_02282","OIJDMNBO_01395","PPDKNGKA_01376","EPFCPEFD_00575","BJCJJAEL_00896","NFIBCCNE_01470","POKGPMKP_01377","AMPJGNCI_02383","HAOGAOPA_01739","IMDFGEMN_01131","KHHHHCOB_01674","KMFFNEKJ_02286"
"group_1004","","hypothetical protein","15","15","1","1","1285","","","","116","116","116","HCCBNODH_01197","GKHFBONB_01152","HMFBFOGB_00790","OCKNCMEG_02279","OIJDMNBO_01392","PPDKNGKA_01373","EPFCPEFD_00572","BJCJJAEL_00893","NFIBCCNE_01467","POKGPMKP_01374","AMPJGNCI_02386","HAOGAOPA_01742","IMDFGEMN_01134","KHHHHCOB_01671","KMFFNEKJ_02283"
"ypcP","","5'-3' exonuclease","15","15","1","1","1280","","","","878","878","878","HCCBNODH_01202","GKHFBONB_01157","HMFBFOGB_00785","OCKNCMEG_02274","OIJDMNBO_01387","PPDKNGKA_01368","EPFCPEFD_00567","BJCJJAEL_00888","NFIBCCNE_01462","POKGPMKP_01369","AMPJGNCI_02391","HAOGAOPA_01747","IMDFGEMN_01139","KHHHHCOB_01666","KMFFNEKJ_02278"
"ald1","","Alanine dehydrogenase 1","15","15","1","1","1279","","","","1118","1118","1118","HCCBNODH_01203","GKHFBONB_01158","HMFBFOGB_00784","OCKNCMEG_02273","OIJDMNBO_01386","PPDKNGKA_01367","EPFCPEFD_00566","BJCJJAEL_00887","NFIBCCNE_01461","POKGPMKP_01368","AMPJGNCI_02392","HAOGAOPA_01748","IMDFGEMN_01140","KHHHHCOB_01665","KMFFNEKJ_02277"
"group_1008","","hypothetical protein","15","15","1","1","1267","","","","1124","1124","1124","HCCBNODH_01213","GKHFBONB_01168","HMFBFOGB_00774","OCKNCMEG_02264","OIJDMNBO_01377","PPDKNGKA_01359","EPFCPEFD_00558","BJCJJAEL_00878","NFIBCCNE_01452","POKGPMKP_01360","AMPJGNCI_02400","HAOGAOPA_01757","IMDFGEMN_01149","KHHHHCOB_01656","KMFFNEKJ_02268"
"yccX","","Acylphosphatase","15","15","1","1","1238","","","","269","269","269","HCCBNODH_01238","GKHFBONB_01193","HMFBFOGB_00749","OCKNCMEG_02239","OIJDMNBO_01352","PPDKNGKA_01334","EPFCPEFD_00531","BJCJJAEL_00853","NFIBCCNE_01427","POKGPMKP_01333","AMPJGNCI_02427","HAOGAOPA_01782","IMDFGEMN_01176","KHHHHCOB_01629","KMFFNEKJ_02241"
"alr1_1","","Alanine racemase 1","15","15","1","1","1231","","","","1085","1085","1085","HCCBNODH_01244","GKHFBONB_01199","HMFBFOGB_00743","OCKNCMEG_02234","OIJDMNBO_01347","PPDKNGKA_01329","EPFCPEFD_00525","BJCJJAEL_00847","NFIBCCNE_01421","POKGPMKP_01327","AMPJGNCI_02433","HAOGAOPA_01788","IMDFGEMN_01181","KHHHHCOB_01624","KMFFNEKJ_02236"
