"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","185","272","313","390","399","431","494","Epi_ref"
"group_101","","hypothetical protein","8","8","1","2","1538","","","","101","134","109","AJPKBNED_01407","JABOOPHC_01371","OAPGLPBN_01344","PLNEIAEP_00946","HCLGMOMD_00929","PNEBEOAF_01355","PILLALAE_00953","ECPKFHDG_01448"
"cinA","","Putative competence-damage inducible protein","8","8","1","2","1601","","","","311","1145","1040","AJPKBNED_01462","JABOOPHC_01427","OAPGLPBN_01399","PLNEIAEP_00892","HCLGMOMD_00872","PNEBEOAF_01411","PILLALAE_00898","ECPKFHDG_01503"
"prkC","","Serine/threonine-protein kinase PrkC","8","8","1","2","1665","","","","1763","2003","1950","AJPKBNED_01526","JABOOPHC_01490","OAPGLPBN_01462","PLNEIAEP_00828","HCLGMOMD_00809","PNEBEOAF_01474","PILLALAE_00835","ECPKFHDG_01566"
"rclA","","putative pyridine nucleotide-disulfide oxidoreductase RclA","8","8","1","2","513","","","","1205","1331","1315","AJPKBNED_02134","JABOOPHC_02079","OAPGLPBN_01966","PLNEIAEP_00263","HCLGMOMD_00273","PNEBEOAF_02052","PILLALAE_00245","ECPKFHDG_02069"
"tarL","","Teichoic acid ribitol-phosphate polymerase TarL","8","8","1","2","467","","","","1391","1694","1656","AJPKBNED_02174","JABOOPHC_02120","OAPGLPBN_02006","PLNEIAEP_00220","HCLGMOMD_00232","PNEBEOAF_02092","PILLALAE_00205","ECPKFHDG_02109"
"arcB_1","","Delta(1)-pyrroline-2-carboxylate reductase","8","8","1","2","460","","","","536","950","794","AJPKBNED_02180","JABOOPHC_02126","OAPGLPBN_02013","PLNEIAEP_00214","HCLGMOMD_00224","PNEBEOAF_02098","PILLALAE_00199","ECPKFHDG_02116"
"cntM","","Staphylopine synthase","8","8","1","2","3260","","","","734","1292","1222","AJPKBNED_00131","JABOOPHC_00097","OAPGLPBN_00086","PLNEIAEP_02209","HCLGMOMD_02181","PNEBEOAF_00097","PILLALAE_02248","ECPKFHDG_00192"
"rarD","","Protein RarD","8","8","1","2","3214","","","","512","905","855","AJPKBNED_00172","JABOOPHC_00138","OAPGLPBN_00128","PLNEIAEP_02166","HCLGMOMD_02139","PNEBEOAF_00138","PILLALAE_02207","ECPKFHDG_00233"
"group_136","","hypothetical protein","8","8","1","2","2358","","","","143","1544","1368","AJPKBNED_00277","JABOOPHC_00246","OAPGLPBN_00219","PLNEIAEP_02075","HCLGMOMD_02052","PNEBEOAF_00225","PILLALAE_02104","ECPKFHDG_00319"
"panB","","3-methyl-2-oxobutanoate hydroxymethyltransferase","8","8","1","2","2415","","","","650","818","797","AJPKBNED_00332","JABOOPHC_00301","OAPGLPBN_00272","PLNEIAEP_02022","HCLGMOMD_01999","PNEBEOAF_00281","PILLALAE_02051","ECPKFHDG_00372"
