"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","313","Epi_ref"
"yflS","","Putative malate transporter YflS","2","2","1","2","247","","","","1049","1418","1233","OAPGLPBN_00130","ECPKFHDG_00235"
"pepS","","Aminopeptidase PepS","2","2","1","2","939","","","","1241","1241","1241","OAPGLPBN_00830","ECPKFHDG_00936"
"group_1001","","hypothetical protein","2","2","1","2","2198","","","","188","188","188","OAPGLPBN_01360","ECPKFHDG_01464"
"yhfS","","Putative acetyl-CoA C-acetyltransferase YhfS","2","2","1","2","1578","","","","1148","1148","1148","OAPGLPBN_01985","ECPKFHDG_02088"
"group_1003","","hypothetical protein","2","2","1","2","886","","","","836","836","836","OAPGLPBN_00786","ECPKFHDG_00883"
"sat","","Sulfate adenylyltransferase","2","2","1","2","355","","","","1178","1178","1178","OAPGLPBN_00241","ECPKFHDG_00341"
"ctaB2","","Protoheme IX farnesyltransferase 2","2","2","1","2","2019","","","","911","911","911","OAPGLPBN_01540","ECPKFHDG_01644"
"pxpA","","5-oxoprolinase subunit A","2","2","1","2","1164","","","","752","752","752","OAPGLPBN_01093","ECPKFHDG_01197"
"topB","","DNA topoisomerase 3","2","2","1","2","684","","","","2135","2135","2135","OAPGLPBN_00570","ECPKFHDG_00669"
"fosB","","Metallothiol transferase FosB","2","2","1","2","227","","","","428","428","428","OAPGLPBN_00110","ECPKFHDG_00216"
"group_1009","","hypothetical protein","2","2","1","2","155","","","","128","128","128","OAPGLPBN_00038","ECPKFHDG_00143"
"group_1010","","hypothetical protein","2","2","1","2","1117","","","","680","680","680","OAPGLPBN_01046","ECPKFHDG_01150"
"ureG","","Urease accessory protein UreG","2","2","1","2","648","","","","614","614","614","OAPGLPBN_00535","ECPKFHDG_00633"
"yabA","","Initiation-control protein YabA","2","2","1","2","1484","","","","347","347","347","OAPGLPBN_02095","ECPKFHDG_02198"
"nth_2","","Endonuclease III","2","2","1","2","1613","","","","635","635","635","OAPGLPBN_01950","ECPKFHDG_02053"
